Contig Name	Contig Length
contig_10000_1	12314
contig_100000_1	21174
contig_100005_1	62148
contig_100009_1	37965
contig_100019_1	250075
contig_100023_1	24625
contig_100030_1	40646
contig_100035_1	196700
contig_100042_1	93013
contig_100062_1	22470
contig_100066_1	2200
contig_10007_1	32013
contig_100072_1	32642
contig_100076_1	216027
contig_100078_1	5435
contig_100083_1	52168
contig_10010_1	108819
contig_100109_1	1102
contig_100116_1	288529
contig_100119_1	198353
contig_10012_1	468548
contig_100130_1	42088
contig_100136_1	31105
contig_100138_1	29142
contig_100140_1	44951
contig_100141_1	46701
contig_100156_1	35379
contig_100163_1	21254
contig_100169_1	35683
contig_100184_1	62297
contig_100196_1	28768
contig_100198_1	13550
contig_10020_1	22585
contig_100202_1	164673
contig_100206_1	14929
contig_100208_1	53056
contig_100212_1	28731
contig_100228_1	60612
contig_100231_1	89449
contig_100239_1	107987
contig_100250_1	44622
contig_100259_1	31759
contig_100263_1	132171
contig_100272_1	66971
contig_100275_1	33804
contig_100278_1	28243
contig_100283_1	38991
contig_100287_1	81833
contig_100288_1	54041
contig_100289_1	36162
contig_10029_1	153612
contig_100293_1	22342
contig_100295_1	25327
contig_10030_1	53633
contig_100316_1	147759
contig_10032_1	246014
contig_100367_1	233871
contig_100375_1	50778
contig_100388_1	173943
contig_10039_1	69227
contig_100393_1	47052
contig_100395_1	316923
contig_10041_1	36311
contig_100413_1	37785
contig_100423_1	43534
contig_100444_1	39074
contig_100447_1	100118
contig_100462_1	21153
contig_100473_1	55316
contig_100479_1	116149
contig_10048_1	26740
contig_100482_1	48058
contig_100485_1	40543
contig_100507_1	40158
contig_100512_1	30935
contig_100519_1	13196
contig_100520_1	74981
contig_100523_1	70557
contig_100527_1	96649
contig_100549_1	95837
contig_100550_1	201804
contig_100552_1	25803
contig_100557_1	214393
contig_100559_1	27623
contig_100567_1	702
contig_100571_1	18265
contig_100572_1	17654
contig_10058_1	38647
contig_100580_1	19232
contig_10060_1	79352
contig_100635_1	19961
contig_100639_1	93594
contig_100641_1	863266
contig_100644_1	234132
contig_100649_1	13699
contig_100653_1	17384
contig_100654_1	41460
contig_100658_1	68118
contig_100660_1	294342
contig_100662_1	40694
contig_100663_1	139697
contig_100670_1	56512
contig_100678_1	17276
contig_100686_1	19822
contig_100704_1	30964
contig_100708_1	39616
contig_100709_1	78003
contig_100718_1	128114
contig_100719_1	110617
contig_100724_1	252951
contig_100735_1	78039
contig_100751_1	20192
contig_100759_1	18757
contig_100760_1	624
contig_100766_1	49607
contig_100778_1	80501
contig_10078_1	67384
contig_100791_1	44851
contig_100797_1	121626
contig_10080_1	163024
contig_100808_1	13071
contig_100812_1	230184
contig_10082_1	23927
contig_100828_1	13474
contig_100831_1	12209
contig_100846_1	70149
contig_100850_1	81703
contig_100857_1	45336
contig_100859_1	41504
contig_100868_1	11785
contig_100872_1	16636
contig_100879_1	67034
contig_100883_1	37208
contig_100885_1	37249
contig_100894_1	31000
contig_100899_1	40577
contig_10090_1	28691
contig_100901_1	8188
contig_100908_1	27041
contig_100910_1	47091
contig_100911_1	16492
contig_100915_1	31293
contig_100928_1	55860
contig_100929_1	77142
contig_100935_1	19665
contig_100936_1	26924
contig_100939_1	40853
contig_10094_1	10548
contig_100940_1	294740
contig_100942_1	30022
contig_100974_1	50090
contig_100978_1	21551
contig_100984_1	72476
contig_101005_1	41342
contig_101013_1	60370
contig_101015_1	1396
contig_101029_1	20049
contig_101035_1	59261
contig_101037_1	59286
contig_101041_1	51984
contig_101042_1	39592
contig_101056_1	178092
contig_101067_1	9032
contig_10107_1	16518
contig_101070_1	30352
contig_101074_1	42371
contig_101081_1	23878
contig_101091_1	42503
contig_101093_1	64159
contig_101099_1	39602
contig_10111_1	33042
contig_101110_1	22844
contig_101114_1	124331
contig_10112_1	85227
contig_101121_1	129333
contig_101137_1	55754
contig_101140_1	106920
contig_101156_1	29733
contig_101163_1	135058
contig_101169_1	29744
contig_101172_1	128169
contig_101178_1	19112
contig_101183_1	11670
contig_101186_1	15490
contig_10119_1	217955
contig_101192_1	76631
contig_101195_1	35938
contig_101202_1	163963
contig_101205_1	38918
contig_101210_1	233490
contig_101212_1	43356
contig_10122_1	346177
contig_101222_1	19953
contig_101227_1	46844
contig_101231_1	1071
contig_10124_1	45786
contig_101254_1	30986
contig_101258_1	28803
contig_10126_1	12476
contig_101262_1	24295
contig_101265_1	19080
contig_101267_1	95265
contig_101271_1	33311
contig_101280_1	18586
contig_101281_1	101014
contig_101284_1	40529
contig_101287_1	25322
contig_10129_1	23112
contig_10130_1	69164
contig_101305_1	19877
contig_101314_1	36610
contig_101324_1	32073
contig_101327_1	53692
contig_101340_1	63378
contig_101343_1	79769
contig_101345_1	53246
contig_10135_1	48259
contig_101354_1	27878
contig_101356_1	31370
contig_10136_1	1448
contig_101360_1	20187
contig_101361_1	50916
contig_101364_1	28368
contig_101366_1	107536
contig_101372_1	19923
contig_101375_1	145495
contig_101383_1	180308
contig_101401_1	115190
contig_101404_1	119384
contig_101414_1	37497
contig_101418_1	70250
contig_101423_1	36436
contig_10143_1	51166
contig_101431_1	33395
contig_101446_1	121117
contig_101457_1	35709
contig_101460_1	13408
contig_101461_1	256028
contig_101464_1	37330
contig_101466_1	44865
contig_10147_1	44177
contig_101470_1	55094
contig_101478_1	103969
contig_101480_1	56498
